clientkey,medid,lastmodifieddatetime,unitcost,hdp_shardid,sourcesystemkey
11923,10000502,2020-08-06 04:16:38.96,15.0,6,2
11923,10000505,2020-08-06 04:16:38.96,0.07118,6,2
11923,10000506,2020-08-06 04:16:38.96,0.11803,6,2
11923,10000507,2020-08-06 04:16:38.96,0.0804,6,2
11923,10000509,2020-08-06 04:16:38.96,0.22357,6,2
11923,10000511,2020-08-06 04:16:38.96,0.032,6,2
11923,10000520,2020-08-06 04:16:38.96,1.95,6,2
11923,10000521,2020-08-06 04:16:38.96,0.7056,6,2
11923,10000522,2020-08-06 04:16:38.96,3.577,6,2
11923,10000523,2020-08-06 04:16:38.96,0.772,6,2
11923,10000534,2020-08-06 04:16:38.96,0.15,6,2
11923,10000550,2020-08-06 04:16:38.96,0.33738,6,2
11923,10000618,2020-08-06 04:16:38.96,1.2416,6,2
11923,10000640,2020-08-06 04:16:38.96,10.36,6,2
11923,10000646,2020-08-06 04:16:38.96,0.02856,6,2
11923,10000647,2020-08-06 04:16:38.96,0.0744,6,2
11923,10000649,2020-08-06 04:16:38.96,0.0959,6,2
11923,10000672,2020-08-06 04:16:38.96,0.09267,6,2
11923,10000704,2020-08-06 04:16:38.96,0.97417,6,2
11923,10000705,2020-08-06 04:16:38.96,0.99583,6,2
11923,10000707,2020-08-06 04:16:38.96,0.00727,6,2
11923,10000710,2020-08-06 04:16:38.96,0.01371,6,2
11923,10000711,2020-08-06 04:16:38.96,0.0256,6,2
11923,10000712,2020-08-06 04:16:38.96,0.02373,6,2
11923,10000715,2020-08-06 04:16:38.96,0.03391,6,2
11923,10000728,2020-08-06 04:16:38.96,0.076,6,2
11923,10000729,2020-08-06 04:16:38.96,0.04,6,2
11923,10000730,2020-08-06 04:16:38.96,0.1448,6,2
11923,10000733,2020-08-06 04:16:38.96,0.1,6,2
11923,10000746,2020-08-06 04:16:38.96,0.24661,6,2
11923,10000747,2020-08-06 04:16:38.96,0.30121,6,2
11923,10000748,2020-08-06 04:16:38.96,0.30121,6,2
11923,10000752,2020-08-06 04:16:38.96,4.614,6,2
11923,10000757,2020-08-06 04:16:38.96,0.95,6,2
11923,10000758,2020-08-06 04:16:38.96,1.2,6,2
11923,10000762,2020-08-06 04:16:38.96,3.36857,6,2
11923,10000764,2020-08-06 04:16:38.96,1.919,6,2
11923,10000767,2020-08-06 04:16:38.96,1.41689,6,2
11923,10000831,2020-08-06 04:16:38.96,0.542,6,2
11923,10000833,2020-08-06 04:16:38.96,2.97733,6,2
11923,10000838,2020-08-06 04:16:38.96,0.8,6,2
11923,10000844,2020-08-06 04:16:38.96,2.3814,6,2
11923,10000847,2020-08-06 04:16:38.96,22.6968,6,2
11923,10000848,2020-08-06 04:16:38.96,5.1787,6,2
11923,10000850,2020-08-06 04:16:38.96,8.71417,6,2
11923,10000851,2020-08-06 04:16:38.96,10.5875,6,2
11923,10000853,2020-08-06 04:16:38.96,13.18286,6,2
11923,10000858,2020-08-06 04:16:38.96,0.05143,6,2
11923,10000859,2020-08-06 04:16:38.96,0.09321,6,2
11923,10000860,2020-08-06 04:16:38.96,4.2921,6,2
11923,10000870,2020-08-06 04:16:38.96,73.0,6,2
11923,10000872,2020-08-06 04:16:38.96,0.03062,6,2
11923,10000873,2020-08-06 04:16:38.96,0.07075,6,2
11923,10000874,2020-08-06 04:16:38.96,0.0185,6,2
11923,10000982,2020-08-06 04:16:38.96,37.21533,6,2
11923,10000990,2020-08-06 04:16:38.96,7.1568,6,2
11923,10000997,2020-08-06 04:16:38.96,0.0935,6,2
11923,10000999,2020-08-06 04:16:38.96,0.116,6,2
11923,10001002,2020-08-06 04:16:38.96,0.13,6,2
11923,10001003,2020-08-06 04:16:38.96,0.308,6,2
11923,10001020,2020-08-06 04:16:38.96,0.21267,6,2
11923,10001021,2020-08-06 04:16:38.96,0.18,6,2
11923,10001027,2020-08-06 04:16:38.96,0.08179,6,2
11923,10001037,2020-08-06 04:16:38.96,0.273,6,2
11923,10001060,2020-08-06 04:16:38.96,17.5,6,2
11923,10001061,2020-08-06 04:16:38.96,0.08008,6,2
11923,10001062,2020-08-06 04:16:38.96,0.07462,6,2
11923,10001095,2020-08-06 04:16:38.96,0.13467,6,2
11923,10001107,2020-08-06 04:16:38.96,0.0277,6,2
11923,10001108,2020-08-06 04:16:38.96,0.25668,6,2
11923,10001113,2020-08-06 04:16:38.96,0.87967,6,2
11923,10001173,2020-08-06 04:16:38.96,0.0538,6,2
11923,10001174,2020-08-06 04:16:38.96,0.0244,6,2
11923,10001177,2020-08-06 04:16:38.96,0.00863,6,2
11923,10001183,2020-08-06 04:16:38.96,0.67947,6,2
11923,10001184,2020-08-06 04:16:38.96,0.0544,6,2
11923,10001185,2020-08-06 04:16:38.96,0.0489,6,2
11923,10001186,2020-08-06 04:16:38.96,0.0544,6,2
11923,10001420,2020-08-06 04:16:38.96,21.0975,6,2
11923,10001504,2020-08-06 04:16:38.96,505.32,6,2
11923,10001540,2020-08-06 04:16:38.96,0.469,6,2
11923,10001541,2020-08-06 04:16:38.96,0.41956,6,2
11923,10001542,2020-08-06 04:16:38.96,8.351,6,2
11923,10001550,2020-08-06 04:16:38.96,2.1825,6,2
11923,10001580,2020-08-06 04:16:38.96,0.0,6,2
11923,10001583,2020-08-06 04:16:38.96,0.0,6,2
11923,10001587,2020-08-06 04:16:38.96,0.1684,6,2
11923,10001588,2020-08-06 04:16:38.96,0.35,6,2
11923,10001590,2020-08-06 04:16:38.96,0.132,6,2
11923,10001593,2020-08-06 04:16:38.96,0.1825,6,2
11923,10001604,2020-08-06 04:16:38.96,0.07437,6,2
11923,10001606,2020-08-06 04:16:38.96,0.09952,6,2
11923,10001607,2020-08-06 04:16:38.96,0.04155,6,2
11923,10001608,2020-08-06 04:16:38.96,0.12778,6,2
11923,10001609,2020-08-06 04:16:38.96,0.0333,6,2
11923,10001610,2020-08-06 04:16:38.96,0.04172,6,2
11923,10001611,2020-08-06 04:16:38.96,0.04178,6,2
11923,10001612,2020-08-06 04:16:38.96,0.116,6,2
11923,10001613,2020-08-06 04:16:38.96,0.07925,6,2
11923,10001614,2020-08-06 04:16:38.96,0.09538,6,2
11923,10001616,2020-08-06 04:16:38.96,0.069,6,2
11923,10001617,2020-08-06 04:16:38.96,0.0872,6,2
11923,10001618,2020-08-06 04:16:38.96,0.07437,6,2
11923,10001619,2020-08-06 04:16:38.96,0.06231,6,2
11923,10001620,2020-08-06 04:16:38.96,0.08189,6,2
11923,10001622,2020-08-06 04:16:38.96,0.2982,6,2
11923,10001625,2020-08-06 04:16:38.96,11.668,6,2
11923,10001627,2020-08-06 04:16:38.96,0.1678,6,2
11923,10001628,2020-08-06 04:16:38.96,0.1509,6,2
11923,10001629,2020-08-06 04:16:38.96,0.34626,6,2
11923,10001630,2020-08-06 04:16:38.96,0.38102,6,2
11923,10001693,2020-08-06 04:16:38.96,0.0546,6,2
11923,10001694,2020-08-06 04:16:38.96,4.544,6,2
11923,10001702,2020-08-06 04:16:38.96,5.04,6,2
11923,10001703,2020-08-06 04:16:38.96,1.5,6,2
11923,10001705,2020-08-06 04:16:38.96,2.662,6,2
11923,10001706,2020-08-06 04:16:38.96,1.272,6,2
11923,10001724,2020-08-06 04:16:38.96,0.0289,6,2
11923,10001731,2020-08-06 04:16:38.96,0.01033,6,2
11923,10001737,2020-08-06 04:16:38.96,0.025,6,2
11923,10001739,2020-08-06 04:16:38.96,0.03938,6,2
11923,10001741,2020-08-06 04:16:38.96,0.38412,6,2
11923,10001743,2020-08-06 04:16:38.96,0.0239,6,2
11923,10001768,2020-08-06 04:16:38.96,0.0136,6,2
11923,10001793,2020-08-06 04:16:38.96,4.6,6,2
11923,10001802,2020-08-06 04:16:38.96,0.01894,6,2
11923,10001805,2020-08-06 04:16:38.96,0.02333,6,2
11923,10001815,2020-08-06 04:16:38.96,437.26,6,2
11923,10001835,2020-08-06 04:16:38.96,2.13133,6,2
11923,10001840,2020-08-06 04:16:38.96,126.76,6,2
11923,10001888,2020-08-06 04:16:38.96,22.7845,6,2
11923,10001891,2020-08-06 04:16:38.96,0.04783,6,2
11923,10001893,2020-08-06 04:16:38.96,0.0547,6,2
11923,10001894,2020-08-06 04:16:38.96,0.0475,6,2
11923,10001895,2020-08-06 04:16:38.96,0.0506,6,2
11923,10001896,2020-08-06 04:16:38.96,0.0739,6,2
11923,10001906,2020-08-06 04:16:38.96,7.47333,6,2
11923,10001911,2020-08-06 04:16:38.96,0.4411,6,2
11923,10001912,2020-08-06 04:16:38.96,0.6759,6,2
11923,10001914,2020-08-06 04:16:38.96,0.213,6,2
11923,10001921,2020-08-06 04:16:38.96,0.045,6,2
11923,10001922,2020-08-06 04:16:38.96,0.0749,6,2
11923,10001924,2020-08-06 04:16:38.96,0.06533,6,2
11923,10001930,2020-08-06 04:16:38.96,0.6457,6,2
11923,10001931,2020-08-06 04:16:38.96,0.2002,6,2
