,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals,max_par_level,standardstockwithindispensingdeviceflag,100avgdailyusage30,inventoryquantity,dist_eed,y_df,y_predict,modified_y_predict_less_cons,transactionquantity,Dashboard Estimate,MSE_Dashboard,MSE_Estimator_Model,MAE_Estimator_Model,MAE_Dashboard,y_removal_group,MSE_Group_Model,MAE_Group_Model
0,13535,00040,-2147440893,14,14,2,8,4.0,4.0,4,0.0,20,0,76.0,18,456.0,0.0,2.6872513974913197,2.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
1,13535,00040,-2147440893,14,14,2,8,4.0,4.0,4,0.0,20,0,76.0,18,456.0,0.0,2.6872513974913197,2.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
2,13535,00082,-2147440892,16,6,4,6,6.0,10.0,8,3.3333333333333335,8,0,10.0,8,456.0,0.0,-1.568353851411377,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,13535,00082,-2147440892,16,6,4,6,6.0,10.0,8,3.3333333333333335,8,0,10.0,8,456.0,0.0,-1.568353851411377,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13535,00092,-2147440891,13,13,2,6,1.0,1.0,1,0.0,5,0,0.0,4,90.0,0.0,6.935445453462389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,13535,00105,-2147440891,14,7,2,10,10.0,10.0,10,7.0,10,0,0.0,10,213.0,0.0,5.719339891830179,5.0,10.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0
6,13535,00116,-2147440893,16,7,3,11,3.0,6.0,4,4.5,8,0,0.0,8,303.0,0.0,3.948890943468294,3.0,6.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
7,13535,00116,-2147440893,16,7,3,11,3.0,6.0,4,4.5,8,0,0.0,8,303.0,0.0,3.948890943468294,3.0,6.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
8,13535,00117,-2147440893,12,9,4,2,1.0,1.0,1,1.0,2,1,0.0,2,122.0,0.0,2.6232385590027167,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,13535,00117,-2147440893,12,9,4,2,1.0,1.0,1,1.0,2,1,0.0,2,122.0,0.0,2.6232385590027167,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,13535,00117,-2147440892,10,10,2,6,1.0,1.0,1,0.0,6,0,0.0,6,275.0,0.0,5.130870190514161,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11,13535,00117,-2147440892,10,10,2,6,1.0,1.0,1,0.0,6,0,0.0,6,275.0,0.0,5.130870190514161,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
