,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals
0,11923,10000092,-2147438089,14,11,2,14,4.0,8.0,6,3.0
1,11923,10000101,-2147438069,13,8,3,3,1.0,2.0,1,2.5
2,11923,10000109,-2147438069,12,5,3,6,3.0,6.0,4,3.5
3,11923,10000128a,-2147438135,6,4,2,24,2.0,13.0,7,2.0
4,11923,10000153,-2147438130,12,7,2,11,1.0,2.0,1,5.0
5,11923,10000239,-2147438139,13,3,3,4,1.0,4.0,3,5.0
6,11923,10000239,-2147438132,13,3,2,2,2.0,2.0,2,10.0
7,11923,10000309,-2147438125,7,6,2,13,2.0,10.0,6,1.0
8,11923,10000309,-2147438107,5,4,2,11,2.0,4.0,3,1.0
9,11923,10000309,-2147438105,7,6,2,12,2.0,2.0,2,1.0
10,11923,10000410,-2147438072,8,5,2,8,2.0,2.0,2,3.0
11,11923,10000413,-2147438130,12,4,3,4,2.0,3.0,2,4.0
12,11923,10000413,-2147438129,12,8,2,7,3.0,5.0,4,4.0
13,11923,10000413,-2147438125,12,4,3,4,1.0,4.0,2,4.0
14,11923,10000413,-2147438119,12,11,2,4,1.0,4.0,2,1.0
15,11923,10000462,-2147438125,13,7,2,7,5.0,6.0,5,6.0
16,11923,10000474p,-2147438121,13,4,2,12,4.0,8.0,6,9.0
17,11923,10000474p,-2147438089,12,4,2,17,4.0,14.0,9,8.0
18,11923,10000489,-2147438139,13,3,9,6,2.0,9.0,5,1.25
19,11923,10000489,-2147438138,13,3,6,8,6.0,17.0,10,2.0
20,11923,10000489,-2147438137,13,6,6,5,1.0,12.0,5,1.4
21,11923,10000489,-2147438135,13,4,5,3,3.0,14.0,6,2.25
22,11923,10000489,-2147438132,13,3,5,2,1.0,4.0,2,2.5
23,11923,10000489,-2147438130,14,3,6,10,1.0,28.0,7,2.2
24,11923,10000489,-2147438127,13,3,5,3,1.0,4.0,2,2.5
25,11923,10000489,-2147438126,10,3,8,2,1.0,6.0,3,1.0
26,11923,10000489,-2147438123,14,12,3,6,1.0,13.0,7,1.0
27,11923,10000489,-2147438097,14,3,6,7,1.0,12.0,5,2.2
28,11923,10000489,-2147438096,14,6,6,3,1.0,9.0,4,1.6
29,11923,10000489,-2147438093,14,12,3,4,6.0,9.0,7,1.0
30,11923,10000489,-2147438091,14,12,3,4,4.0,16.0,9,1.0
31,11923,10000489,-2147438088,10,3,8,3,2.0,12.0,6,1.0
32,11923,10000489,-2147438087,14,3,12,5,1.0,15.0,8,1.0
33,11923,10000507,-2147438122,14,3,12,2,4.0,8.0,6,1.0
34,11923,10000507,-2147438120,14,3,11,3,2.0,11.0,7,1.1
35,11923,10000507,-2147438089,13,5,7,10,1.0,20.0,9,1.3333333333333333
36,11923,10000507,-2147438078,9,3,7,2,4.0,7.0,5,1.0
37,11923,10000509,-2147438122,14,3,10,2,2.0,5.0,3,1.2222222222222223
