,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals,max_par_level,standardstockwithindispensingdeviceflag,100avgdailyusage30,inventoryquantity,dist_eed,y_df,y_predict,modified_y_predict_less_cons,transactionquantity,Dashboard Estimate,MSE_Dashboard,MSE_Estimator_Model,MAE_Estimator_Model,MAE_Dashboard,y_removal_group,MSE_Group_Model,MAE_Group_Model
0,11923,10000092,-2147438089,14,11,2,14,4.0,8.0,6,3.0,10,0,6.0,10,364.0,0.0,4.346758708560457,4.0,8.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
1,11923,10000101,-2147438069,13,8,3,3,1.0,2.0,1,2.5,4,1,0.0,4,121.0,0.0,2.312298022359949,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
2,11923,10000109,-2147438069,12,5,3,6,3.0,6.0,4,3.5,10,1,0.0,9,92.0,0.0,2.7203448989072205,2.0,6.0,4.0,16.0,4.0,2.0,4.0,0.0,0.0,0.0
3,11923,10000128a,-2147438135,6,4,2,24,2.0,13.0,7,2.0,5,0,0.0,10,121.0,0.0,3.1614716459957464,3.0,13.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
4,11923,10000153,-2147438130,12,7,2,11,1.0,2.0,1,5.0,10,0,13.0,15,305.0,0.0,4.580184695507015,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
5,11923,10000239,-2147438139,13,3,3,4,1.0,4.0,3,5.0,6,1,0.0,6,305.0,0.0,1.769641126088314,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,11923,10000239,-2147438132,13,3,2,2,2.0,2.0,2,10.0,2,1,0.0,2,305.0,0.0,2.248116090121721,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
7,11923,10000309,-2147438125,7,6,2,13,2.0,10.0,6,1.0,10,0,23.0,12,288.0,0.0,4.380193040557794,4.0,10.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
8,11923,10000309,-2147438107,5,4,2,11,2.0,4.0,3,1.0,10,0,23.0,15,319.0,0.0,4.588371739159687,4.0,4.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
9,11923,10000309,-2147438105,7,6,2,12,2.0,2.0,2,1.0,20,1,60.0,16,331.0,0.0,6.481269268794653,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
10,11923,10000410,-2147438072,8,5,2,8,2.0,2.0,2,3.0,10,0,66.0,10,153.0,0.0,4.103812748193922,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
11,11923,10000413,-2147438130,12,4,3,4,2.0,3.0,2,4.0,4,1,0.0,4,91.0,0.0,2.422382950662539,2.0,3.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0
12,11923,10000413,-2147438129,12,8,2,7,3.0,5.0,4,4.0,6,0,0.0,5,91.0,0.0,3.025579755690798,3.0,5.0,2.0,4.0,9.0,3.0,2.0,0.0,0.0,0.0
13,11923,10000413,-2147438125,12,4,3,4,1.0,4.0,2,4.0,4,1,0.0,3,244.0,0.0,1.7649892702213434,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
14,11923,10000413,-2147438119,12,11,2,4,1.0,4.0,2,1.0,4,1,10.0,4,60.0,0.0,2.497444195716924,2.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0
15,11923,10000462,-2147438125,13,7,2,7,5.0,6.0,5,6.0,5,1,0.0,4,30.0,4.0,2.663037432742201,2.0,6.0,1.0,9.0,4.0,2.0,3.0,0.0,16.0,4.0
16,11923,10000474p,-2147438121,13,4,2,12,4.0,8.0,6,9.0,10,1,0.0,10,178.0,0.0,4.11264648723032,4.0,8.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
17,11923,10000474p,-2147438089,12,4,2,17,4.0,14.0,9,8.0,20,1,0.0,12,274.0,0.0,6.222229629723476,6.0,14.0,0.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0
18,11923,10000489,-2147438139,13,3,9,6,2.0,9.0,5,1.25,9,1,110.0,5,6.0,4.0,6.935866973157546,6.0,9.0,2.0,4.0,4.0,2.0,2.0,6.0,4.0,2.0
19,11923,10000489,-2147438138,13,3,6,8,6.0,17.0,10,2.0,9,1,270.0,4,2.0,0.0,8.192905096597393,8.0,17.0,1.0,1.0,64.0,8.0,1.0,8.0,64.0,8.0
20,11923,10000489,-2147438137,13,6,6,5,1.0,12.0,5,1.4,6,1,210.0,4,0.0,15.0,-9.759839176206265,0.0,12.0,1.0,196.0,225.0,15.0,14.0,0.0,225.0,15.0
21,11923,10000489,-2147438135,13,4,5,3,3.0,14.0,6,2.25,4,1,96.0,3,6.0,2.0,3.1035290335098074,3.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0
22,11923,10000489,-2147438132,13,3,5,2,1.0,4.0,2,2.5,3,1,120.0,3,5.0,0.0,3.2008748441099213,3.0,4.0,1.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0
23,11923,10000489,-2147438130,14,3,6,10,1.0,28.0,7,2.2,6,1,110.0,4,3.0,0.0,-1.1538461488852931,0.0,28.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
24,11923,10000489,-2147438127,13,3,5,3,1.0,4.0,2,2.5,3,1,106.0,3,4.0,0.0,3.1156865595813654,3.0,4.0,1.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0
25,11923,10000489,-2147438123,14,12,3,6,1.0,13.0,7,1.0,6,0,10.0,5,578.0,0.0,0.5525591975597575,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,11923,10000489,-2147438097,14,3,6,7,1.0,12.0,5,2.2,12,1,320.0,11,4.0,5.0,15.918521237152156,12.0,12.0,4.0,1.0,49.0,7.0,1.0,12.0,49.0,7.0
27,11923,10000489,-2147438096,14,6,6,3,1.0,9.0,4,1.6,6,1,43.0,3,3.0,0.0,-1.9538288770743744,0.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
28,11923,10000489,-2147438093,14,12,3,4,6.0,9.0,7,1.0,5,0,26.0,3,4.0,2.0,2.5118874337971753,2.0,9.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
29,11923,10000489,-2147438091,14,12,3,4,4.0,16.0,9,1.0,5,0,73.0,3,7.0,2.0,2.5457124939972067,2.0,16.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
30,11923,10000489,-2147438087,14,3,12,5,1.0,15.0,8,1.0,4,0,103.0,4,2.0,7.0,0.5000466939894128,0.0,15.0,1.0,36.0,49.0,7.0,6.0,0.0,49.0,7.0
31,11923,10000507,-2147438122,14,3,12,2,4.0,8.0,6,1.0,2,1,3.0,2,1.0,7.0,6.454297216187303,6.0,8.0,0.0,49.0,1.0,1.0,7.0,6.0,1.0,1.0
32,11923,10000507,-2147438120,14,3,11,3,2.0,11.0,7,1.1,3,1,0.0,3,0.0,9.0,7.422998126381401,7.0,11.0,1.0,64.0,4.0,2.0,8.0,7.0,4.0,2.0
33,11923,10000507,-2147438089,13,5,7,10,1.0,20.0,9,1.3333333333333333,20,1,403.0,13,4.0,0.0,16.219214041115247,16.0,20.0,5.0,25.0,256.0,16.0,5.0,16.0,256.0,16.0
34,11923,10000509,-2147438122,14,3,10,2,2.0,5.0,3,1.2222222222222223,4,1,50.0,3,3.0,1.0,3.5759710990515865,3.0,5.0,1.0,0.0,4.0,2.0,0.0,3.0,4.0,2.0
35,11923,10000509,-2147438120,14,3,12,3,2.0,12.0,7,1.0,4,1,13.0,4,8.0,5.0,4.056302043544005,4.0,12.0,1.0,16.0,1.0,1.0,4.0,4.0,1.0,1.0
36,11923,10000509,-2147438089,11,9,2,5,1.0,2.0,1,2.0,5,1,166.0,4,3.0,0.0,2.542120334121977,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0
37,11923,10000710a,-2147438136,12,7,2,5,4.0,6.0,5,5.0,6,0,0.0,9,267.0,0.0,3.4364796722471698,3.0,6.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
38,11923,10000710a,-2147438135,12,7,2,11,7.0,16.0,11,5.0,5,1,3.0,9,267.0,0.0,3.1917912321952184,3.0,16.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
39,11923,10000710a,-2147438127,12,7,2,15,15.0,15.0,15,5.0,20,0,3.0,14,267.0,0.0,6.385286598175615,6.0,15.0,0.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0
40,11923,10000710a,-2147438093,12,7,2,7,3.0,6.0,4,5.0,5,1,0.0,8,267.0,0.0,3.1343311172959836,3.0,6.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
41,11923,10000712,-2147438134,10,3,2,10,9.0,12.0,10,7.0,10,1,0.0,5,239.0,0.0,3.8772289490311262,3.0,12.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
42,11923,10000712,-2147438092,10,3,2,21,1.0,30.0,15,7.0,10,0,10.0,10,239.0,0.0,4.220731458800839,4.0,30.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
43,11923,10000729,-2147438138,13,8,2,7,3.0,5.0,4,5.0,10,1,36.0,9,244.0,0.0,4.098402546759624,4.0,5.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
44,11923,10000752,-2147438125,12,4,4,4,2.0,7.0,3,2.6666666666666665,3,0,0.0,6,152.0,0.0,4.234727270425114,4.0,7.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
45,11923,10000762,-2147438069,14,7,3,10,2.0,7.0,4,3.5,15,0,0.0,10,91.0,0.0,2.54261128337276,2.0,7.0,4.0,16.0,4.0,2.0,4.0,0.0,0.0,0.0
46,11923,10000767,-2147438069,13,7,2,5,2.0,4.0,3,6.0,8,1,0.0,6,425.0,0.0,3.7413001615637533,3.0,4.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
47,11923,10000873,-2147438126,14,6,2,7,2.0,3.0,2,8.0,5,1,16.0,9,121.0,0.0,3.0398662462359054,3.0,3.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
48,11923,10001003,-2147438094,11,7,2,10,10.0,10.0,10,4.0,7,0,3.0,6,-1.0,0.0,3.181575456713829,3.0,10.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
49,11923,10001061,-2147438132,13,11,2,11,4.0,12.0,8,2.0,10,0,60.0,12,274.0,0.0,4.345339037577109,4.0,12.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
50,11923,10001107,-2147438133,13,8,2,7,7.0,7.0,7,5.0,10,0,0.0,10,213.0,0.0,4.200663673902776,4.0,7.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
51,11923,10001183,-2147438135,13,9,2,18,6.0,10.0,8,4.0,20,0,0.0,19,248.0,0.0,6.663988877073766,6.0,10.0,0.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0
52,11923,10001542,-2147438070,14,4,4,6,1.0,5.0,2,3.3333333333333335,5,1,0.0,4,213.0,0.0,1.3973135700696222,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
53,11923,10001610,-2147438130,10,9,2,11,1.0,6.0,3,1.0,25,1,10.0,23,486.0,0.0,8.025340122583339,6.0,6.0,0.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0
54,11923,10001618,-2147438130,7,6,2,4,3.0,5.0,4,1.0,5,0,0.0,0,121.0,0.0,2.569849033602537,2.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
55,11923,10001737,-2147438139,12,4,2,8,2.0,6.0,4,8.0,10,1,0.0,9,121.0,0.0,3.997050705075385,3.0,6.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
56,11923,10001737,-2147438138,12,4,2,7,7.0,8.0,7,8.0,10,1,16.0,5,121.0,0.0,3.7513235463043095,3.0,8.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0
57,11923,10001737,-2147438135,12,4,2,6,4.0,9.0,6,8.0,5,1,0.0,5,121.0,0.0,2.8122953150924137,2.0,9.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
58,11923,10001737,-2147438134,12,4,2,6,4.0,9.0,6,8.0,5,1,0.0,5,121.0,0.0,2.8122953150924137,2.0,9.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
59,11923,10001737,-2147438133,12,4,2,10,8.0,12.0,10,8.0,10,1,0.0,10,121.0,0.0,4.056212966314706,4.0,12.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
60,11923,10001737,-2147438132,12,4,3,8,5.0,13.0,9,4.0,10,1,0.0,10,121.0,0.0,2.7098900143127027,2.0,13.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
61,11923,10001739,-2147438138,14,11,2,13,12.0,15.0,13,3.0,15,1,0.0,20,548.0,0.0,6.01869829971548,6.0,15.0,0.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0
62,11923,10001739,-2147438137,14,11,2,8,5.0,8.0,6,3.0,10,1,6.0,9,548.0,0.0,4.416402788377091,4.0,8.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
63,11923,10001739,-2147438134,14,11,2,16,6.0,14.0,10,3.0,10,1,3.0,12,183.0,0.0,4.234219172221122,4.0,14.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
64,11923,10001739,-2147438133,14,8,3,8,1.0,6.0,4,3.0,10,1,0.0,12,183.0,0.0,2.6743022546833215,2.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
65,11923,10001739,-2147438132,14,11,2,10,7.0,9.0,8,3.0,10,1,0.0,10,548.0,0.0,4.478969342296583,4.0,9.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
66,11923,10001739,-2147438099,14,11,2,7,2.0,5.0,3,3.0,10,1,3.0,10,548.0,0.0,4.4772671959564985,4.0,5.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
67,11923,10001739,-2147438091,14,11,2,11,5.0,17.0,11,3.0,10,1,0.0,10,547.0,0.0,4.477979280526135,4.0,17.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
68,11923,10001739,-2147438084,14,11,2,8,3.0,7.0,5,3.0,12,0,0.0,14,183.0,0.0,4.786853403756853,4.0,7.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
69,11923,10001756,-2147438125,14,8,2,3,1.0,2.0,1,6.0,6,1,20.0,6,336.0,0.0,3.2625944837162453,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
70,11923,10001933,-2147438126,11,10,2,6,2.0,5.0,3,1.0,5,0,10.0,7,107.0,0.0,2.9644501763578726,2.0,5.0,3.0,9.0,4.0,2.0,3.0,0.0,0.0,0.0
71,11923,10001946,-2147438122,13,5,2,2,1.0,2.0,1,8.0,2,1,0.0,2,364.0,0.0,2.3065297345782336,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
72,11923,10001974,-2147438127,12,10,2,9,1.0,6.0,3,2.0,10,0,13.0,13,58.0,0.0,4.21731491572738,4.0,6.0,5.0,25.0,16.0,4.0,5.0,4.0,16.0,4.0
73,11923,10001974,-2147438088,12,9,3,15,2.0,12.0,5,1.5,10,1,0.0,10,304.0,0.0,2.038371951666903,2.0,12.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
74,11923,10002374,-2147438123,14,7,2,4,1.0,2.0,1,7.0,5,1,50.0,4,486.0,0.0,3.0861364943990104,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
75,11923,10002374,-2147438084,14,12,2,3,1.0,1.0,1,2.0,3,1,33.0,3,517.0,0.0,2.6880691059604986,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
76,11923,10002393,-2147438135,11,4,2,12,3.0,8.0,5,7.0,10,1,0.0,8,91.0,0.0,3.908186590722583,3.0,8.0,3.0,9.0,9.0,3.0,3.0,0.0,0.0,0.0
