,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals
0,11923,10000092,-2147438089,14,11,2,14,4.0,8.0,6,3.0
1,11923,10000101,-2147438069,13,8,3,3,1.0,2.0,1,2.5
2,11923,10000109,-2147438069,12,5,3,6,3.0,6.0,4,3.5
3,11923,10000153,-2147438130,12,7,2,11,1.0,2.0,1,5.0
4,11923,10000239,-2147438139,13,10,2,4,1.0,4.0,2,3.0
5,11923,10000309,-2147438125,7,6,2,13,2.0,10.0,6,1.0
6,11923,10000309,-2147438105,7,6,2,12,2.0,2.0,2,1.0
7,11923,10000410,-2147438072,8,5,2,8,2.0,2.0,2,3.0
8,11923,10000413,-2147438130,12,8,2,4,2.0,2.0,2,4.0
9,11923,10000413,-2147438129,12,8,2,7,3.0,5.0,4,4.0
10,11923,10000413,-2147438125,12,8,2,4,1.0,4.0,2,4.0
11,11923,10000413,-2147438119,16,11,3,4,1.0,4.0,2,2.5
12,11923,10000413,-2147438118,16,8,2,3,1.0,2.0,1,8.0
13,11923,10000423,-2147438137,16,11,2,13,3.0,3.0,3,5.0
14,11923,10000462,-2147438130,15,7,2,8,6.0,10.0,8,8.0
15,11923,10000462,-2147438126,15,11,2,12,4.0,8.0,6,4.0
16,11923,10000462,-2147438125,15,7,3,6,4.0,6.0,5,4.0
17,11923,10000463,-2147438100,16,11,2,8,4.0,4.0,4,5.0
18,11923,10000463,-2147438089,16,13,2,10,3.0,4.0,3,3.0
19,11923,10000489,-2147438139,16,5,9,5,2.0,9.0,5,1.375
20,11923,10000489,-2147438138,16,9,5,8,6.0,13.0,10,1.75
21,11923,10000489,-2147438137,16,6,8,5,1.0,15.0,7,1.4285714285714286
22,11923,10000489,-2147438135,15,8,5,3,2.0,9.0,4,1.75
23,11923,10000489,-2147438132,13,7,3,2,1.0,4.0,2,3.0
24,11923,10000489,-2147438130,14,5,4,5,1.0,5.0,2,3.0
25,11923,10000489,-2147438127,13,6,3,3,1.0,3.0,1,3.5
26,11923,10000489,-2147438126,10,5,6,2,1.0,5.0,3,1.0
27,11923,10000489,-2147438124,16,15,2,5,9.0,12.0,10,1.0
28,11923,10000489,-2147438123,16,12,4,6,1.0,13.0,6,1.3333333333333333
29,11923,10000489,-2147438097,16,5,6,8,1.0,12.0,5,2.2
30,11923,10000489,-2147438096,16,6,7,4,1.0,9.0,4,1.6666666666666667
31,11923,10000489,-2147438093,15,12,4,4,2.0,9.0,6,1.0
32,11923,10000489,-2147438091,16,12,5,3,1.0,16.0,6,1.0
33,11923,10000489,-2147438088,10,5,6,3,5.0,12.0,7,1.0
34,11923,10000489,-2147438087,15,5,11,4,1.0,15.0,7,1.0
35,11923,10000507,-2147438122,16,5,12,2,4.0,8.0,6,1.0
36,11923,10000507,-2147438120,16,5,11,3,2.0,11.0,7,1.1
37,11923,10000507,-2147438089,16,5,8,11,1.0,20.0,8,1.5714285714285714
