,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals
350,11923,10007768,-2147438124,11,8,2,7,1.0,1.0,1,3.0
351,11923,10007768,-2147438101,10,6,2,12,9.0,11.0,10,4.0
352,11923,10007768,-2147438099,13,10,2,4,1.0,3.0,2,3.0
353,11923,10007768,-2147438086,11,8,2,4,1.0,2.0,1,3.0
354,11923,10007768,-2147438084,9,8,2,10,1.0,4.0,2,1.0
355,11923,10007810,-2147438130,14,10,2,2,1.0,1.0,1,4.0
356,11923,10007810,-2147438127,13,11,2,3,1.0,2.0,1,2.0
357,11923,10007846,-2147438095,11,4,2,11,1.0,5.0,3,7.0
358,11923,10007876,-2147438137,8,5,2,10,1.0,6.0,3,3.0
359,11923,10007939,-2147438138,14,13,2,20,4.0,12.0,8,1.0
360,11923,10008017,-2147438123,14,12,2,26,4.0,4.0,4,2.0
361,11923,10008018,-2147438130,12,7,2,12,4.0,13.0,8,5.0
362,11923,10008086,-2147438104,7,4,2,5,1.0,5.0,3,3.0
363,11923,10008094,-2147438125,15,4,3,12,7.0,23.0,12,5.5
364,11923,10008096,-2147438114,5,4,2,4,1.0,4.0,2,1.0
365,11923,10008127,-2147438131,15,8,2,10,9.0,11.0,10,7.0
366,11923,10008127,-2147438127,10,6,2,11,2.0,15.0,8,4.0
367,11923,10008127,-2147438125,15,8,2,18,2.0,4.0,3,7.0
368,11923,10008127,-2147438117,15,11,2,5,1.0,4.0,2,4.0
369,11923,10008127,-2147438092,9,8,2,16,1.0,4.0,2,1.0
370,11923,10008127,-2147438077,9,8,2,7,1.0,6.0,3,1.0
371,11923,10008146,-2147438093,14,9,2,20,20.0,20.0,20,5.0
372,11923,10008193,-2147438070,15,7,2,5,3.0,4.0,3,8.0
373,11923,10008251,-2147438104,15,13,2,8,4.0,6.0,5,2.0
374,11923,10008252,-2147438122,15,7,2,14,10.0,18.0,14,8.0
375,11923,10008252,-2147438120,15,7,2,15,14.0,16.0,15,8.0
376,11923,10008370a,-2147438125,9,8,2,15,20.0,189.0,104,1.0
377,11923,10008371,-2147438113,14,13,2,11,3.0,10.0,6,1.0
378,11923,10008371,-2147438112,12,9,3,26,18.0,182.0,127,1.5
379,11923,10008414a,-2147438127,15,12,2,9,4.0,5.0,4,3.0
380,11923,10008417a,-2147438138,12,4,2,8,2.0,5.0,3,8.0
381,11923,10008417a,-2147438107,12,8,2,3,1.0,4.0,2,4.0
382,11923,10008652,-2147438136,8,6,3,4,1.0,4.0,3,1.0
383,11923,10008652,-2147438135,8,6,2,8,1.0,8.0,4,2.0
384,11923,10008652,-2147438134,15,6,3,7,1.0,5.0,3,4.5
385,11923,10008652,-2147438130,8,7,2,3,1.0,2.0,1,1.0
386,11923,10008652,-2147438126,15,6,3,2,1.0,2.0,1,4.5
387,11923,10008652,-2147438124,8,6,2,3,1.0,3.0,2,2.0
388,11923,10008652,-2147438123,14,8,2,4,1.0,6.0,3,6.0
389,11923,10008652,-2147438105,15,6,3,2,1.0,2.0,1,4.5
390,11923,10008652,-2147438102,14,6,4,6,1.0,8.0,4,2.6666666666666665
391,11923,10008652,-2147438101,14,6,4,6,3.0,4.0,3,2.6666666666666665
392,11923,10008652,-2147438099,9,4,4,4,1.0,2.0,1,1.6666666666666667
393,11923,10008652,-2147438096,15,8,2,6,1.0,5.0,3,7.0
394,11923,10008652,-2147438094,8,6,2,10,2.0,7.0,4,2.0
395,11923,10008652,-2147438093,8,6,2,5,2.0,5.0,3,2.0
396,11923,10008652,-2147438092,14,6,4,6,1.0,5.0,2,2.6666666666666665
397,11923,10008652,-2147438091,14,6,4,5,1.0,7.0,3,2.6666666666666665
398,11923,10008652,-2147438088,8,7,2,4,3.0,4.0,3,1.0
399,11923,10008652,-2147438087,9,7,2,8,8.0,9.0,8,2.0
400,11923,10008652,-2147438084,9,6,2,3,2.0,4.0,3,3.0
401,11923,10008653,-2147438130,8,7,2,4,3.0,4.0,3,1.0
402,11923,10008732,-2147438110,15,10,2,5,3.0,5.0,4,5.0
403,11923,10008732,-2147438097,15,9,2,3,1.0,3.0,2,6.0
404,11923,10008732,-2147438095,15,9,2,7,1.0,3.0,2,6.0
405,11923,10008732,-2147438080,11,7,2,3,1.0,3.0,2,4.0
406,11923,10009124,-2147438118,12,9,2,2,1.0,2.0,1,3.0
407,11923,10009124,-2147438108,12,6,2,2,1.0,3.0,2,6.0
408,11923,10009124,-2147438084,15,6,4,2,1.0,2.0,1,3.0
409,11923,10009153,-2147438138,9,8,2,16,3.0,6.0,4,1.0
410,11923,10009153,-2147438124,10,9,2,8,1.0,1.0,1,1.0
411,11923,10009153,-2147438093,9,8,2,15,1.0,6.0,3,1.0
412,11923,10009153,-2147438086,10,9,2,15,2.0,14.0,8,1.0
413,11923,10009153,-2147438072,11,8,3,4,1.0,2.0,1,1.5
414,11923,10009157,-2147438092,15,7,2,4,1.0,5.0,3,8.0
415,11923,10009216,-2147438139,11,4,2,11,1.0,10.0,5,7.0
416,11923,10009482,-2147438127,8,6,2,8,2.0,3.0,2,2.0
417,11923,10009482,-2147438104,7,6,2,9,1.0,2.0,1,1.0
418,11923,10009618p,-2147438137,12,7,2,13,2.0,11.0,6,5.0
419,11923,10009619p,-2147438133,10,8,2,8,1.0,3.0,2,2.0
420,11923,10009619p,-2147438100,12,10,2,3,1.0,3.0,2,2.0
421,11923,10009667,-2147438137,14,9,2,3,1.0,1.0,1,5.0
422,11923,10009698,-2147438135,13,7,2,9,4.0,12.0,8,6.0
423,11923,10009745,-2147438125,10,5,2,7,7.0,7.0,7,5.0
424,11923,10009823,-2147438132,12,4,2,6,1.0,2.0,1,8.0
425,11923,10009935,-2147438137,10,5,2,11,1.0,2.0,1,5.0
426,11923,10009941,-2147438139,15,4,9,8,2.0,24.0,9,1.375
427,11923,10009941,-2147438138,15,4,7,14,2.0,39.0,14,1.8333333333333333
428,11923,10009941,-2147438137,15,4,6,12,1.0,43.0,12,2.2
429,11923,10009941,-2147438136,10,6,5,4,4.0,9.0,7,1.0
430,11923,10009941,-2147438135,15,4,10,9,1.0,60.0,11,1.2222222222222223
431,11923,10009941,-2147438133,10,4,5,6,1.0,9.0,4,1.5
432,11923,10009941,-2147438130,6,4,3,11,2.0,25.0,9,1.0
433,11923,10009941,-2147438124,15,4,11,6,4.0,25.0,8,1.1
434,11923,10009941,-2147438123,14,4,8,6,1.0,18.0,6,1.4285714285714286
435,11923,10009941,-2147438107,15,4,11,2,2.0,6.0,4,1.1
436,11923,10009941,-2147438102,9,4,6,7,8.0,24.0,14,1.0
437,11923,10009941,-2147438101,13,4,9,17,6.0,34.0,20,1.125
438,11923,10009941,-2147438099,15,4,11,4,3.0,11.0,6,1.1
439,11923,10009941,-2147438097,11,5,4,15,4.0,14.0,8,2.0
440,11923,10009941,-2147438096,15,4,11,9,5.0,29.0,10,1.1
441,11923,10009941,-2147438093,9,4,6,17,14.0,39.0,28,1.0
442,11923,10009941,-2147438092,13,4,9,12,7.0,29.0,15,1.125
443,11923,10009941,-2147438091,9,4,6,9,6.0,27.0,15,1.0
444,11923,10009941,-2147438088,9,4,5,7,4.0,17.0,10,1.25
445,11923,10009941,-2147438087,14,4,9,6,2.0,15.0,8,1.25
446,11923,10009941,-2147438086,15,4,8,10,4.0,28.0,14,1.5714285714285714
447,11923,10009941,-2147438084,15,4,10,4,3.0,11.0,5,1.2222222222222223
448,11923,10009941,-2147438083,15,4,9,5,1.0,19.0,9,1.375
449,11923,10009941,-2147437929,9,6,3,6,6.0,6.0,6,1.5
450,11923,10009942,-2147438138,15,4,12,4,1.0,14.0,7,1.0
451,11923,10009942,-2147438137,10,4,7,3,2.0,11.0,6,1.0
452,11923,10009942,-2147438135,14,4,11,4,4.0,29.0,7,1.0
453,11923,10009942,-2147438133,15,4,12,4,3.0,13.0,7,1.0
454,11923,10009942,-2147438130,14,4,7,5,1.0,15.0,3,1.6666666666666667
455,11923,10009942,-2147438127,14,4,8,5,1.0,4.0,2,1.4285714285714286
456,11923,10009942,-2147438125,10,4,7,5,4.0,16.0,12,1.0
457,11923,10009942,-2147438124,15,4,12,3,3.0,13.0,7,1.0
458,11923,10009942,-2147438123,15,4,10,4,2.0,10.0,6,1.2222222222222223
459,11923,10009942,-2147438101,10,4,7,7,6.0,17.0,12,1.0
460,11923,10009942,-2147438099,10,4,3,3,3.0,11.0,6,3.0
461,11923,10009942,-2147438097,10,4,7,6,5.0,16.0,11,1.0
462,11923,10009942,-2147438096,15,4,12,3,5.0,12.0,7,1.0
463,11923,10009942,-2147438093,14,12,3,4,5.0,10.0,8,1.0
464,11923,10009942,-2147438092,10,4,7,3,2.0,16.0,7,1.0
465,11923,10009942,-2147438087,10,4,7,4,4.0,13.0,8,1.0
466,11923,10009942,-2147438086,14,4,11,4,3.0,14.0,7,1.0
467,11923,10009942,-2147438083,15,4,10,3,2.0,10.0,5,1.2222222222222223
468,11923,10010295,-2147438093,13,6,4,13,6.0,11.0,8,2.3333333333333335
469,11923,10010295,-2147438091,13,12,2,17,13.0,14.0,13,1.0
470,11923,10010295,-2147438088,13,7,2,10,10.0,10.0,10,6.0
471,11923,10010295,-2147438087,11,6,2,8,6.0,8.0,7,5.0
472,11923,10010343,-2147438069,15,5,5,2,1.0,3.0,1,2.5
473,11923,10010344r,-2147438106,11,8,2,3,1.0,3.0,2,3.0
474,11923,10010344r,-2147438084,12,4,3,8,1.0,5.0,3,4.0
475,11923,10010349,-2147438134,10,7,2,7,1.0,20.0,10,3.0
476,11923,10010351p,-2147438097,8,7,2,7,1.0,1.0,1,1.0
477,11923,10010381,-2147438100,13,12,2,15,1.0,5.0,3,1.0
478,11923,10010381,-2147438097,11,10,2,11,2.0,2.0,2,1.0
479,11923,10010531,-2147438095,14,10,2,7,1.0,4.0,2,4.0
480,11923,10010532,-2147438139,13,6,2,12,4.0,14.0,9,7.0
481,11923,10010572,-2147438130,15,9,2,3,1.0,4.0,2,6.0
482,11923,10010572,-2147438101,15,11,2,12,10.0,15.0,12,4.0
483,11923,10010581,-2147438069,13,6,3,7,3.0,8.0,5,3.5
484,11923,10010686,-2147438118,11,10,2,1,1.0,1.0,1,1.0
485,11923,10010705,-2147438087,13,8,2,8,2.0,6.0,4,5.0
486,11923,10010705,-2147437929,13,10,2,5,5.0,6.0,5,3.0
487,11923,10010707,-2147438112,9,6,2,10,3.0,4.0,3,3.0
