,skclientkey,medid,device_naturalkey,Last_Removal_month,First_Removal_month,Month_w_Removal_count,Avg_Inventory_Qty_training_peroid,Min_Removal_Qty,Max_Removal_Qty,Avg_Removal_Qty,Frequency_of_Removals,max_par_level,standardstockwithindispensingdeviceflag,100avgdailyusage30,inventoryquantity,dist_eed,y_df,y_predict,modified_y_predict_less_cons,transactionquantity,Dashboard Estimate,MSE_Dashboard,MSE_Estimator_Model,MAE_Estimator_Model,MAE_Dashboard,y_removal_group,MSE_Group_Model,MAE_Group_Model
655,11923,10027505a,-2147438125,13,12,2,4,1.0,2.0,1,1.0,4,1,0.0,3,122.0,0.0,2.655026342110561,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
656,11923,10027505a,-2147438119,13,7,4,2,1.0,2.0,1,2.0,3,0,0.0,3,121.0,0.0,1.9203645019870141,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
657,11923,10027505a,-2147438118,13,9,2,2,2.0,2.0,2,4.0,3,0,0.0,4,274.0,0.0,3.1377438009983507,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
658,11923,10027505a,-2147438117,13,5,4,2,1.0,3.0,1,2.6666666666666665,3,0,0.0,3,91.0,0.0,1.9995228353576833,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
659,11923,10027505a,-2147438091,15,13,2,3,1.0,2.0,1,2.0,3,0,0.0,2,274.0,0.0,3.0237618263739305,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
660,11923,10027505a,-2147438086,13,11,3,2,1.0,1.0,1,1.0,3,1,0.0,3,29.0,1.0,1.8214760582255796,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
661,11923,10027505a,-2147438085,13,7,3,2,1.0,2.0,1,3.0,3,1,0.0,2,121.0,0.0,1.1054293114487432,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
662,11923,10027717,-2147438126,13,11,2,7,4.0,11.0,7,2.0,10,1,13.0,6,251.0,0.0,4.259293136698454,4.0,11.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
663,11923,10027898,-2147438088,13,7,2,9,2.0,10.0,6,6.0,16,1,0.0,12,363.0,0.0,6.071607011549922,6.0,10.0,0.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0
664,11923,10028178,-2147438136,15,5,4,25,2.0,19.0,8,3.3333333333333335,24,1,0.0,20,30.0,0.0,6.40008657143671,6.0,19.0,9.0,81.0,36.0,6.0,9.0,0.0,0.0,0.0
