clientkey,medid,lastmodifieddatetime,unitcost,hdp_shardid,sourcesystemkey,medkey
10023,6533,2021-03-12 05:32:03.253,1.273600,7,2,507699
10023,16822,2021-03-12 05:32:03.253,9.917500,7,2,507698
10023,11409,2021-03-12 05:32:03.253,7.890000,7,2,506959
10023,17924,2021-03-12 05:32:03.253,30.100000,7,2,506957
10023,T1151,2020-05-22 08:11:50.203,0.000000,7,2,506956
10023,14380,2021-06-17 01:33:31.96,0.081700,7,2,573001
10023,20878,2021-06-03 01:17:25.837,26.000000,7,2,572977
10023,7677,2021-05-23 03:26:44.863,1.338500,7,2,572976
10023,18141,2021-05-25 01:40:14.123,1.920000,7,2,572975
10023,20758,2021-05-23 03:26:44.863,0.220000,7,2,572974
10023,14070,2021-05-25 01:40:14.123,0.504200,7,2,572973
10023,2107,2021-08-03 02:14:42.673,0.470000,7,2,569438
10023,20250,2021-07-22 01:56:18.913,0.000000,7,2,569437
10023,19822,2021-03-04 03:42:21.553,771.530000,7,2,569434
10023,2857,2021-03-24 01:12:27.24,0.137000,7,2,569395
10023,17298,2021-03-12 05:32:03.253,18.285800,7,2,569394
10023,17271,2021-02-02 11:32:04.597,15.524670,7,2,569393
10023,20270,2021-06-03 01:17:25.837,1.800000,7,2,569392
10023,T0806,2020-05-22 08:11:50.203,0.000000,7,2,506923
10023,3585,2021-03-12 05:32:03.253,0.679800,7,2,506922
10023,12337,2020-05-22 08:11:50.203,5.800000,7,2,506921
10023,15419,2020-05-22 08:11:50.203,0.000000,7,2,506920
10023,2339,2020-05-22 08:11:50.203,2.913000,7,2,508589
10023,15005,2020-05-22 08:11:50.203,5.000000,7,2,508588
10023,5311,2020-05-22 08:11:50.203,10.014200,7,2,508587
10023,2434,2021-03-12 05:32:03.253,53.317600,7,2,508586
10023,3610,2020-05-22 08:11:50.203,0.061700,7,2,508585
10023,1182,2021-03-12 05:32:03.253,0.064100,7,2,508583
10023,4023,2021-03-12 05:32:03.253,5.624100,7,2,508581
10023,1978,2021-03-12 05:32:03.253,0.195300,7,2,508580
10023,13097,2021-03-12 05:32:03.253,35.893300,7,2,508579
10023,14947,2021-03-12 01:27:15.983,11.490000,7,2,508576
10023,2453,2021-03-12 05:32:03.253,0.167500,7,2,508575
10023,1355,2021-03-12 05:32:03.253,18.181700,7,2,508574
10023,6188,2021-03-12 05:32:03.253,0.190000,7,2,508572
10023,1282,2021-03-12 05:32:03.253,0.148000,7,2,508570
10023,12134,2020-05-22 08:11:50.203,68.950000,7,2,508569
10023,1665,2020-05-22 08:11:50.203,5.961400,7,2,508568
10023,6326,2021-03-12 05:32:03.253,0.321600,7,2,508567
10023,99983,2020-05-22 08:11:50.203,0.000000,7,2,508564
10023,2261,2020-05-22 08:11:50.203,30.935000,7,2,508562
10023,17480,2021-03-12 05:32:03.253,1.475300,7,2,509355
10023,6516,2021-03-12 05:32:03.253,103.499000,7,2,509353
10023,4980,2021-03-12 05:32:03.253,0.227200,7,2,509352
10023,4134,2021-03-12 05:32:03.253,0.120300,7,2,509350
10023,14645,2021-03-12 05:32:03.253,18.420000,7,2,509349
10023,15129,2021-03-12 05:32:03.253,44.210000,7,2,509348
10023,3401,2021-03-12 05:32:03.253,0.691300,7,2,509347
10023,4983,2021-03-12 05:32:03.253,0.450300,7,2,509344
10023,15357,2021-03-12 05:32:03.253,19.712000,7,2,509343
10023,1966,2021-03-12 05:32:03.253,14.330000,7,2,509342
10023,14166,2021-03-12 05:32:03.253,111.610000,7,2,509340
10023,code tray,2020-05-22 08:11:50.203,0.000000,7,2,509338
10023,1540,2020-05-22 08:11:50.203,0.010000,7,2,508604
10023,18341,2021-03-12 05:32:03.253,763.610000,7,2,508602
10023,13650,2021-03-12 05:32:03.253,37.562500,7,2,508601
10023,6366,2021-03-12 05:32:03.253,0.246800,7,2,508600
10023,T0856,2020-05-22 08:11:50.203,0.000000,7,2,508599
10023,K0822,2021-04-28 08:21:26.347,0.000000,7,2,508597
10023,4089,2021-03-12 05:32:03.253,0.267800,7,2,508596
10023,T1165,2020-05-22 08:11:50.203,0.000000,7,2,508595
10023,5862,2020-05-22 08:11:50.203,4.320000,7,2,508594
10023,16631,2021-03-12 05:32:03.253,0.255700,7,2,508592
10023,5104,2020-05-22 08:11:50.203,306.950000,7,2,507796
10023,17390,2020-05-22 08:11:50.203,10.355330,7,2,507795
10023,14705,2021-03-12 05:32:03.253,4.735000,7,2,507793
10023,14341,2020-05-22 08:11:50.203,0.000000,7,2,507790
10023,T0846,2020-05-22 08:11:50.203,0.000000,7,2,507788
10023,3392,2020-05-22 08:11:50.203,0.239100,7,2,507787
10023,5990,2020-05-22 08:11:50.203,0.061100,7,2,507786
10023,2134,2021-03-12 05:32:03.253,4.554000,7,2,507784
10023,7276,2021-03-12 05:32:03.253,0.030000,7,2,507739
10023,T1015,2020-05-22 08:11:50.203,0.000000,7,2,507738
10023,2739,2021-03-12 05:32:03.253,1.158000,7,2,507737
10023,6127,2020-05-22 08:11:50.203,0.200000,7,2,507735
10023,19065,2021-03-12 05:32:03.253,3.776300,7,2,507734
